symptome,causes_possibles,conseils,urgence,pathologies_associees
Insomnie,"Stress, douleur, effet de certains médicaments, mauvaises habitudes de sommeil","Horaires réguliers, éviter les écrans le soir, limiter la caféine l'après-midi",,
Fatigue inhabituelle,"Manque de sommeil, anémie, problème thyroïdien, effet secondaire d'un médicament","Repos, alimentation équilibrée, activité physique douce","Fatigue intense, persistante ou inexpliquée depuis plusieurs semaines : consultez",Anémie ; VIH (primo-infection) ; Grippe (syndrome grippal) ; Cancer du poumon
Brûlures d'estomac,"Reflux gastro-œsophagien, repas copieux, effet de certains médicaments","Repas plus légers, éviter de s'allonger juste après manger, surélever la tête du lit",Brûlures fréquentes ou difficulté à avaler associée : consultez,Reflux gastro-œsophagien (RGO)
Mal de dos,"Mauvaise posture, effort physique, arthrose, tension musculaire","Rester actif autant que possible, chaleur locale, étirements doux",Perte de force dans les jambes ou troubles urinaires associés : consultez en urgence,
Palpitations,"Stress, caféine, anxiété, trouble du rythme cardiaque","Respirer calmement, éviter la caféine et l'alcool","Palpitations avec douleur thoracique, essoufflement ou malaise : appelez le 15 si sévère",Tachycardie supraventriculaire paroxystique ; Myocardite ; Fibrillation ou flutter auriculaire ; Péricardite
Gonflement des jambes,"Station debout prolongée, problème veineux, problème cardiaque ou rénal, effet d'un médicament","Surélever les jambes, éviter la station debout prolongée","Gonflement soudain d'une seule jambe (douleur, rougeur) ou avec essoufflement : consultez rapidement",Embolie pulmonaire ; Œdème aigu du poumon ; Œdème localisé ou généralisé
Perte d'appétit,"Stress, infection, effet d'un médicament, problème digestif","Petits repas fréquents et appétissants, bien s'hydrater",Perte d'appétit avec perte de poids importante ou prolongée : consultez,Possible infarctus du myocarde ; Grippe (syndrome grippal) ; Pneumonie ; Cancer du poumon
Confusion soudaine,"Infection (notamment urinaire chez la personne âgée), déshydratation, effet d'un médicament, AVC","Restez avec la personne, ne la laissez pas seule","Confusion brutale chez une personne âgée, surtout avec faiblesse d'un côté du corps ou trouble de la parole : appelez le 15 immédiatement",
Sifflements respiratoires,"Asthme, bronchite, allergie, BPCO","Éviter les déclencheurs connus (fumée, allergènes), rester calme, position assise",Sifflements avec forte gêne respiratoire ou lèvres bleutées : appelez le 15,Anaphylaxie ; Crise d'asthme / bronchospasme ; Exacerbation aiguë de BPCO ; Bronchite
Ganglions enflés ou douloureux,"Infection ORL (rhume, angine), réaction à une petite plaie, dans de rares cas cause plus sérieuse","Surveillez l'évolution sur quelques jours, n'essayez pas de percer ou masser le ganglion","Ganglion qui grossit sur plusieurs semaines, dur, ou associé à une fièvre prolongée et une perte de poids : consultez",VIH (primo-infection) ; Sarcoïdose
Difficulté à avaler,"Angine, reflux gastrique, anxiété, bouchée mal mâchée","Manger lentement, privilégier une alimentation plus molle temporairement, bien s'hydrater","Apparition brutale avec voix étouffée, salivation excessive ou difficulté à respirer : appelez le 15",Épiglottite ; Myasthénie grave
Vision double soudaine,"Fatigue oculaire, migraine, effet d'un médicament","Reposez les yeux, évitez de conduire tant que le symptôme persiste","Apparition brutale, surtout avec faiblesse du visage ou difficulté à parler : appelez le 15 (signe possible d'AVC)",Myasthénie grave
Faiblesse ou paralysie d'un côté du visage,"Fatigue, mauvaise position pendant le sommeil, dans de rares cas AVC ou paralysie faciale",Ne pas attendre pour évaluer la situation,"Toujours une urgence : appelez le 15 (SAMU) ou le 112 immédiatement, surtout si associée à une faiblesse d'un bras ou une difficulté à parler",Syndrome de Guillain-Barré
Convulsions,"Épilepsie connue, fièvre élevée chez l'enfant, effet d'un médicament, dans de rares cas AVC","Protégez la personne (dégagez les objets autour), ne rien mettre dans sa bouche, la mettre sur le côté après la crise","Toujours une urgence, surtout si première crise ou si elle dure plus de 5 minutes : appelez le 15 (SAMU) ou le 112",
Toux avec du sang,"Bronchite sévère, infection pulmonaire, dans de rares cas cause plus grave",Ne pas paniquer mais noter la quantité et la fréquence pour votre médecin,"Toujours à signaler rapidement à un médecin ; en cas de grande quantité de sang ou d'essoufflement, appelez le 15",Embolie pulmonaire ; Bronchiectasies ; Tuberculose ; Pneumonie ; Cancer du poumon
Voix qui devient rauque ou éteinte,"Laryngite, usage excessif de la voix, reflux gastrique","Reposez votre voix, hydratez-vous, évitez de chuchoter (ça fatigue autant que parler normalement)","Enrouement qui dure plus de 3 semaines, ou apparition brutale avec difficulté à respirer : consultez",Épiglottite ; Laryngite aigüe
